,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
672,Canal St (1),M,1,True,40.72285461425781,-74.00627899169922,183896,91948.0
673,79 St (D),BK,D,True,40.613502502441406,-74.0006103515625,180753,90376.5
674,"Gun Hill Rd (2,5)",BX,"2,5",True,40.87784957885742,-73.86625671386719,179007,89503.5
675,Prospect Av (R),BK,R,True,40.66541290283203,-73.99287414550781,178097,89048.5
676,Ralph Av (C),BK,C,True,40.6788215637207,-73.92078399658203,178066,89033.0
677,176 St (4),BX,4,True,40.848480224609375,-73.91179656982422,176650,88325.0
678,"Northern Blvd (M,R)",Q,"M,R",True,40.75288391113281,-73.906005859375,176506,88253.0
679,"Simpson St (2,5)",BX,"2,5",True,40.82407379150391,-73.89306640625,176346,88173.0
680,Morrison Av-Soundview (6),BX,6,True,40.82952117919922,-73.87451934814453,176282,88141.0
681,"103 St (B,C)",M,"C,B",True,40.79609298706055,-73.96145629882812,175278,87639.0
682,20 Av (D),BK,D,True,40.60455703735352,-73.9981689453125,174929,87464.5
683,Franklin St (1),M,1,True,40.71931838989258,-74.00688934326172,174925,87462.5
684,Van Cortlandt Park-242 St (1),BX,1,True,40.88924789428711,-73.8985824584961,174087,87043.5
685,Pelham Bay Park (6),BX,6,True,40.85246276855469,-73.82811737060547,172577,86288.5
686,Sutter Av-Rutland Rd (3),BK,3,True,40.66471862792969,-73.922607421875,169420,84710.0
687,77 St (R),BK,R,True,40.62974166870117,-74.0255126953125,168566,84283.0
688,71 St (D),BK,D,True,40.619590759277344,-73.99886322021484,167554,83777.0
689,Rockaway Av (C),BK,C,True,40.678340911865234,-73.91194915771484,166150,83075.0
690,Avenue J (Q),BK,Q,True,40.625038146972656,-73.96080017089844,164784,82392.0
691,Bay Ridge-95 St (R),BK,R,True,40.61662292480469,-74.03087615966797,164346,82173.0
692,"Broad St (J,Z)",M,"J,Z",True,40.70647430419922,-74.01105499267578,162628,81314.0
693,St George,SI,SIR,True,40.643748,-74.073643,162488,81244.0
694,Mt Eden Av (4),BX,4,True,40.84443283081055,-73.91468811035156,161312,80656.0
695,Avenue M (Q),BK,Q,True,40.617618560791016,-73.95939636230469,160908,80454.0
696,"Rector St (R,W)",M,"R,W",True,40.707218170166016,-74.01334381103516,158216,79108.0
697,Brook Av (6),BX,6,True,40.80756759643555,-73.91924285888672,158181,79090.5
698,"Prospect Av (2,5)",BX,"2,5",True,40.819583892822266,-73.90177154541016,154563,77281.5
699,Ozone Park-Lefferts Blvd (A),Q,A,True,40.68595123291016,-73.82579803466797,153806,76903.0
700,Marble Hill-225 St (1),M,1,True,40.87456130981445,-73.90982818603516,153263,76631.5
701,Kingston Av (3),BK,3,True,40.66939926147461,-73.9421615600586,150839,75419.5
702,Grant Av (A),BK,A,True,40.67704391479492,-73.86505126953125,150508,75254.0
703,New Lots Av (3),BK,3,True,40.666236877441406,-73.88407897949219,149166,74583.0
704,"Smith-9 Sts (F,G)",BK,"F,G",True,40.67358016967773,-73.99595642089844,148655,74327.5
705,25 Av (D),BK,D,True,40.59770584106445,-73.98683166503906,148485,74242.5
706,"174 St (2,5)",BX,"2,5",True,40.83728790283203,-73.88773345947266,148337,74168.5
707,"West Farms Sq-East Tremont Av (2,5)",BX,"2,5",True,40.840293884277344,-73.88005065917969,147939,73969.5
708,"Lorimer St (J,M)",BK,"M,J",True,40.7038688659668,-73.9474105834961,147539,73769.5
709,163 St-Amsterdam Av (C),M,C,True,40.83601379394531,-73.93989562988281,146849,73424.5
710,Wilson Av (L),BK,L,True,40.68876266479492,-73.90404510498047,145440,72720.0
711,"Fordham Rd (B,D)",BX,"B,D",True,40.86129760742188,-73.89775085449219,145032,72516.0
712,"135 St (B,C)",M,"C,B",True,40.8178939819336,-73.94764709472656,144716,72358.0
713,East 149 St (6),BX,6,True,40.81211853027344,-73.90409851074219,143806,71903.0
714,"City Hall (R,W)",M,"R,W",True,40.71328353881836,-74.0069808959961,141851,70925.5
715,Jamaica-Van Wyck (E),Q,E,True,40.70256423950195,-73.81685638427734,140739,70369.5
716,Avenue U (N),BK,N,True,40.59747314453125,-73.97913360595703,140663,70331.5
717,"Beverly Rd (2,5)",BK,"2,5",True,40.64509963989258,-73.94895935058594,139863,69931.5
718,Neck Rd (Q),BK,Q,True,40.595245361328125,-73.95516204833984,139384,69692.0
719,Fresh Pond Rd (M),Q,M,True,40.70618438720703,-73.8958740234375,139114,69557.0
720,"Briarwood-Van Wyck Blvd (E,F)",Q,"F,E",True,40.70917892456055,-73.82057189941406,137545,68772.5
721,238 St (1),BX,1,True,40.88466644287109,-73.90087127685547,137108,68554.0
722,Nostrand Av (3),BK,3,True,40.66984558105469,-73.9504623413086,134794,67397.0
723,"West 8 St-New York Aquarium (F,Q)",BK,"F,Q",True,40.57612609863281,-73.97593688964844,133742,66871.0
724,Wakefield-241 St (2),BX,2,True,40.90312576293945,-73.85061645507812,130773,65386.5
725,Ocean Pkwy (Q),BK,Q,True,40.57631301879883,-73.96849822998047,130695,65347.5
726,Sutphin Blvd (F),Q,F,True,40.70545959472656,-73.81070709228516,129993,64996.5
727,190 St (A),M,A,True,40.8590202331543,-73.9341812133789,129789,64894.5
728,"Crescent St (J,Z)",BK,"J,Z",True,40.68319320678711,-73.87378692626953,129460,64730.0
729,Howard Beach-JFK Airport (A),Q,A,True,40.66047668457031,-73.8302993774414,126069,63034.5
730,20 Av (N),BK,N,True,40.617408752441406,-73.98502349853516,126016,63008.0
731,25 St (R),BK,R,True,40.66039657592773,-73.99809265136719,125708,62854.0
732,St Lawrence Av (6),BX,6,True,40.83150863647461,-73.86761474609375,124704,62352.0
