,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
0,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",False,40.75730895996094,-73.98196411132812,35429402,7085880.4
1,"Grand Central-42 St (S,4,5,6,7)",M,"5,S,4,7,6",False,40.75177764892578,-73.97684478759766,21279518,4255903.6
2,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"F,M,N,R,Q,B,W,D",False,40.74971771240234,-73.98782348632812,15434541,3086908.2
3,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"5,N,R,Q,4,L,W,6",False,40.73573684692383,-73.98995208740234,13808191,2761638.2
4,"Fulton St (A,C,J,Z,2,3,4,5)",M,"J,C,3,2,5,Z,4,A",False,40.71037292480469,-74.0065689086914,12381100,2476220.0
5,"34 St-Penn Station (A,C,E)",M,"C,E,A",False,40.752288818359375,-73.99339294433594,11286809,2257361.8
6,"59 St-Columbus Circle (A,B,C,D,1)",M,"C,1,B,A,D",False,40.76829528808594,-73.98173522949219,10359897,2071979.4
7,"34 St-Penn Station (1,2,3)",M,"3,1,2",False,40.75037384033203,-73.99105834960938,10204712,2040942.4
8,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"F,M,E,R,,7",False,40.746849060058594,-73.8913345336914,9288982,1857796.4
9,Flushing-Main St (7),Q,7,False,40.75960159301758,-73.83003234863281,9275038,1855007.6
10,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,"3,C,E,2,R,,A,W",False,40.714111328125,-74.00858306884766,8740507,1748101.4
11,"Lexington Av-53 St (E,M)/51 St (6)",M,"M,E,,6",False,40.75755310058594,-73.96905517578125,8001923,1600384.6
12,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"F,M,B,D",False,40.75866317749024,-73.98133087158203,7908026,1581605.2
13,"Lexington Av (N,R,W)/59 St (4,5,6)",M,"5,N,R,4,,W,6",False,40.76266098022461,-73.96725463867188,7901965,1580393.0
14,"14 St (F,M,1,2,3)/6 Av (L)",M,"F,M,3,1,2,,L",False,40.73822784423828,-73.99620819091797,7553901,1510780.2
15,"14 St (A,C,E)/8 Av (L)",M,"C,E,,A,L",False,40.74089431762695,-74.00169372558594,7006226,1401245.2
16,"86 St (4,5,6)",M,"5,4,6",False,40.77949142456055,-73.9555892944336,6906665,1381333.0
17,"Canal St (J,N,Q,R,W,Z,6)",M,"J,N,R,Z,Q,W,6",False,40.71952819824219,-73.99989318847656,6580636,1316127.2
18,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,"3,2,5,N,R,Q,4,B,D",False,40.6844596862793,-73.97689056396484,6394138,1278827.6
19,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,"F,M,C,E,B,A,D",False,40.73233795166016,-74.00049591064453,6209490,1241898.0
20,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,"F,M,B,,D,6",False,40.72591400146485,-73.99465942382812,5785509,1157101.8
21,"72 St (1,2,3)",M,"3,1,2",False,40.7784538269043,-73.98197174072266,5771344,1154268.8
22,"Jay St-MetroTech (A,C,F,R)",BK,"F,C,R,A",False,40.69233703613281,-73.9859390258789,5279759,1055951.8
23,"96 St (1,2,3)",M,"3,1,2",False,40.79391860961914,-73.97232055664062,5195168,1039033.6
24,Bedford Av (L),BK,L,False,40.71730422973633,-73.95687103271484,5095258,1019051.6
25,"57 St-7 Av (N,Q,R,W)",M,"N,R,Q,W",False,40.76466369628906,-73.98065948486328,4941518,988303.6
26,72 St (Q),M,Q,False,40.768798828125,-73.95842742919922,4531665,906333.0
27,"Court St (R)/Borough Hall (2,3,4,5)",BK,"3,2,5,R,4,",False,40.69409942626953,-73.98999786376953,4495399,899079.8
28,"Delancey St (F)/Essex St (J,M,Z)",M,"F,M,J,Z,",False,40.71861267089844,-73.98743438720703,4407375,881475.0
29,Junction Blvd (7),Q,7,False,40.7491455078125,-73.8695297241211,4331511,866302.2
30,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"J,E,Z",False,40.7021484375,-73.80110931396484,4323594,864718.8
31,103 St-Corona Plaza (7),Q,7,False,40.7498664855957,-73.86270141601562,4315723,863144.6
32,77 St (6),M,6,False,40.77362060546875,-73.95987701416016,4297608,859521.6
33,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"J,5,Z,4,,6",False,40.71324157714844,-74.00340270996094,4180159,836031.8
34,"South Ferry (1)/Whitehall St (R,W)",M,"1,R,,W",False,40.703086853027344,-74.01299285888672,4127874,825574.8
35,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,"J,E,Z",False,40.70048522949219,-73.80796813964844,4123446,824689.2
36,"Forest Hills-71 Av (E,F,M,R)",Q,"F,M,E,R",False,40.7216911315918,-73.84452056884766,3930997,786199.4
37,33 St (6),M,6,False,40.7460823059082,-73.9820785522461,3904664,780932.8
38,50 St (1),M,1,False,40.76172637939453,-73.98384857177734,3826443,765288.6
39,23 St (6),M,6,False,40.739864349365234,-73.98660278320312,3820971,764194.2
40,"23 St (F,M)",M,"F,M",False,40.74287796020508,-73.9928207397461,3801840,760368.0
41,1 Av (L),M,L,False,40.730953216552734,-73.98162841796875,3761377,752275.4
42,"Grand St (B,D)",M,"B,D",False,40.71826553344727,-73.9937515258789,3759196,751839.2
43,"125 St (A,B,C,D)",M,"C,B,A,D",False,40.81110763549805,-73.95234680175781,3740977,748195.4
44,68 St-Hunter College (6),M,6,False,40.76814270019531,-73.9638671875,3728963,745792.6
45,34 St-Hudson Yards (7),M,7,False,40.7558822631836,-74.00190734863281,3677719,735543.8
46,"Court Sq (E,G,M,7)",Q,"M,E,G,7",False,40.74784469604492,-73.94383239746094,3675837,735167.4
47,"Kew Gardens-Union Turnpike (E,F)",Q,"F,E",False,40.71443939208984,-73.83100891113281,3606731,721346.2
48,86 St (Q),M,Q,False,40.77788925170898,-73.95178985595703,3583476,716695.2
49,"Crown Heights-Utica Av (3,4)",BK,"3,4",False,40.66889572143555,-73.93294525146484,3565561,713112.2
50,"168 St (A,C,1)",M,"C,1,A",False,40.84071731567383,-73.93955993652344,3562207,712441.4
51,"161 St-Yankee Stadium (B,D,4)",BX,"4,B,D",False,40.82799530029297,-73.92565155029297,3561893,712378.6
52,"Bowling Green (4,5)",M,"5,4",False,40.70481872558594,-74.01406860351562,3529226,705845.2
53,"49 St (N,R,W)",M,"N,R,W",False,40.7598991394043,-73.98413848876953,3400107,680021.4
54,"125 St (4,5,6)",M,"5,4,6",False,40.80413818359375,-73.93759155273438,3372089,674417.8
55,"Myrtle-Wyckoff Avs (L,M)",BK,"M,L",False,40.69981384277344,-73.91158294677734,3314352,662870.4
56,"5 Av-53 St (E,M)",M,"M,E",False,40.76016616821289,-73.97522735595703,3306139,661227.8
57,"145 St (A,B,C,D)",M,"C,B,A,D",False,40.82478332519531,-73.9442138671875,3173082,634616.4
58,66 St-Lincoln Center (1),M,1,False,40.77344131469727,-73.98220825195312,3143619,628723.8
59,"Kings Hwy (B,Q)",BK,"Q,B",False,40.60866928100586,-73.95773315429688,3067939,613587.8
60,"50 St (C,E)",M,"C,E",False,40.762454986572266,-73.9859848022461,3049629,609925.8
61,"DeKalb Av (B,Q,R)",BK,"R,Q,B",False,40.69063568115234,-73.98182678222656,2985924,597184.8
62,"23 St (C,E)",M,"C,E",False,40.745906829833984,-73.99803924560547,2985782,597156.4
63,28 St (6),M,6,False,40.74306869506836,-73.98426055908203,2984471,596894.2
64,90 St-Elmhurst Av (7),Q,7,False,40.74840927124024,-73.8766098022461,2951656,590331.2
65,Jamaica-179 St (F),Q,F,False,40.712646484375,-73.7838134765625,2926961,585392.2
66,Woodside-61 St (7),Q,7,False,40.7456283569336,-73.90298461914062,2907683,581536.6
67,"Woodhaven Blvd (M,R)",Q,"M,R",False,40.73310470581055,-73.86923217773438,2891856,578371.2
68,"23 St (R,W)",M,"R,W",False,40.741302490234375,-73.98934173583984,2740612,548122.4
69,"Lexington Av-63 St (F,Q)",M,"F,Q",False,40.76462936401367,-73.96611022949219,2738839,547767.8
70,"Chambers St (1,2,3)",M,"3,1,2",False,40.715476989746094,-74.00926971435547,2726017,545203.4
71,"Canal St (A,C,E)",M,"C,E,A",False,40.7208251953125,-74.0052261352539,2708618,541723.6
72,"Grand Av-Newtown (M,R)",Q,"M,R",False,40.73701477050781,-73.8772201538086,2705628,541125.6
73,96 St (6),M,6,False,40.78567123413086,-73.9510726928711,2697457,539491.4
74,"Wall St (2,3)",M,"3,2",False,40.70682144165039,-74.00910186767578,2683767,536753.4
75,"Flatbush Av-Brooklyn College (2,5)",BK,"2,5",False,40.6328353881836,-73.94763946533203,2671963,534392.6
76,"7 Av (B,D,E)",M,"E,B,D",False,40.76286315917969,-73.98163604736328,2641241,528248.2
77,86 St (1),M,1,False,40.78864288330078,-73.9762191772461,2640350,528070.0
78,96 St (Q),M,Q,False,40.78431701660156,-73.94715118408203,2638884,527776.8
79,"Nostrand Av (A,C)",BK,"C,A",False,40.68043899536133,-73.95042419433594,2545926,509185.2
80,Vernon Blvd-Jackson Av (7),Q,7,False,40.74262619018555,-73.95358276367188,2523806,504761.2
81,2 Av (F),M,F,False,40.7234001159668,-73.98993682861328,2490853,498170.6
82,"Queens Plaza (E,M,R)",Q,"M,E,R",False,40.74897384643555,-73.93724060058594,2456751,491350.2
83,"Wall St (4,5)",M,"5,4",False,40.707557678222656,-74.0118637084961,2392049,478409.8
84,Lorimer St (L)/Metropolitan Av (G),BK,"G,,L",False,40.71406173706055,-73.95027160644531,2384831,476966.2
85,East Broadway (F),M,F,False,40.713714599609375,-73.99017333984375,2358760,471752.0
86,Astor Place (6),M,6,False,40.73005294799805,-73.99107360839844,2343800,468760.0
87,"3 Av-149 St (2,5)",BX,"2,5",False,40.81610870361328,-73.91775512695312,2343411,468682.2
88,116 St-Columbia University (1),M,1,False,40.80772018432617,-73.964111328125,2340464,468092.8
89,"8 St-New York University (R,W)",M,"R,W",False,40.73032760620117,-73.99263000488281,2338680,467736.0
90,"36 St (D,N,R)",BK,"N,R,D",False,40.65514373779297,-74.00354766845703,2309047,461809.4
91,Parkchester (6),BX,6,False,40.83322525024414,-73.8608169555664,2287337,457467.4
92,"Queensboro Plaza (N,W,7)",Q,"N,W,7",False,40.75058364868164,-73.94020080566406,2285301,457060.2
93,"Church Av (B,Q)",BK,"Q,B",False,40.65052795410156,-73.96298217773438,2269166,453833.2
94,79 St (1),M,1,False,40.783935546875,-73.97991943359375,2260187,452037.4
95,"Astoria-Ditmars Blvd (N,W)",Q,"N,W",False,40.7750358581543,-73.91203308105469,2246825,449365.0
96,"Coney Island-Stillwell Av (D,F,N,Q)",BK,"F,N,Q,D",False,40.577423095703125,-73.98123168945312,2222242,444448.4
97,"5 Av-59 St (N,R,W)",M,"N,R,W",False,40.76481246948242,-73.97335052490234,2212934,442586.8
98,"Franklin Av (2,3,4,5)/Botanic Garden (S)",BK,"3,2,5,4,,S",False,40.67068099975586,-73.9581298828125,2179145,435829.0
99,"63 Dr-Rego Park (M,R)",Q,"M,R",False,40.7298469543457,-73.86160278320312,2147154,429430.8
100,"81 St-Museum of Natural History (B,C)",M,"C,B",False,40.78143310546875,-73.9721450805664,2134380,426876.0
101,York St (F),BK,F,False,40.70139694213867,-73.98674774169922,2044424,408884.8
102,"30 Av (N,W)",Q,"N,W",False,40.76678085327149,-73.92147827148438,2041873,408374.6
103,"Sheepshead Bay (B,Q)",BK,"Q,B",False,40.58689498901367,-73.95415496826172,2032284,406456.8
104,"Spring St (C,E)",M,"C,E",False,40.72622680664063,-74.00373840332031,2031682,406336.4
105,28 St (1),M,1,False,40.747215270996094,-73.99336242675781,2023793,404758.6
106,WTC Cortlandt (1),M,1,False,40.71183395385742,-74.01219177246094,2021046,404209.2
107,23 St (1),M,1,False,40.74407958984375,-73.99565887451172,2008026,401605.2
108,"Utica Av (A,C)",BK,"C,A",False,40.67936325073242,-73.93073272705078,1990942,398188.4
109,46 St-Bliss St (7),Q,7,False,40.74313354492188,-73.9184341430664,1958844,391768.8
110,82 St-Jackson Hts (7),Q,7,False,40.747657775878906,-73.88369750976562,1930659,386131.8
111,"59 St (N,R)",BK,"N,R",False,40.641361236572266,-74.01788330078125,1929533,385906.6
112,"Marcy Av (J,M,Z)",BK,"M,J,Z",False,40.70835876464844,-73.95775604248047,1919725,383945.0
113,57 St (F),M,F,False,40.763973236083984,-73.97744750976562,1915204,383040.8
114,Houston St (1),M,1,False,40.72825241088867,-74.00536346435547,1898474,379694.8
115,116 St (6),M,6,False,40.79862976074219,-73.94161987304688,1895351,379070.2
116,"4 Av (F,G)/9 St (R)",BK,"F,R,G,",False,40.67084884643555,-73.9883041381836,1892098,378419.6
117,103 St (1),M,1,False,40.79944610595703,-73.96837615966797,1874070,374814.0
118,Cathedral Pkwy-110 St (1),M,1,False,40.8039665222168,-73.96685028076172,1861552,372310.4
119,DeKalb Av (L),BK,L,False,40.70381164550781,-73.91842651367188,1842422,368484.4
120,"Broadway (N,W)",Q,"N,W",False,40.76182174682617,-73.92550659179688,1838006,367601.2
121,"Steinway St (M,R)",Q,"M,R",False,40.75687789916992,-73.92073822021484,1837284,367456.8
122,103 St (6),M,6,False,40.79059982299805,-73.94747924804688,1832167,366433.4
123,137 St-City College (1),M,1,False,40.82200622558594,-73.95367431640625,1830090,366018.0
124,"Elmhurst Av (M,R)",Q,"M,R",False,40.742454528808594,-73.88201904296875,1829591,365918.2
125,"Brighton Beach (B,Q)",BK,"Q,B",False,40.57762145996094,-73.96137237548828,1824821,364964.2
126,"Hoyt-Schermerhorn Sts (A,C,G)",BK,"C,G,A",False,40.68848419189453,-73.98500061035156,1816115,363223.0
127,"7 Av (F,G)",BK,"F,G",False,40.6662712097168,-73.98030853271484,1811468,362293.6
128,86 St (R),BK,R,False,40.62268829345703,-74.02839660644531,1803273,360654.6
129,"Bergen St (F,G)",BK,"F,G",False,40.6861457824707,-73.99085998535156,1786011,357202.2
130,"Carroll St (F,G)",BK,"F,G",False,40.680301666259766,-73.99504852294922,1781741,356348.2
131,"125 St (2,3)",M,"3,2",False,40.80775451660156,-73.94549560546875,1778917,355783.4
132,"Prince St (R,W)",M,"R,W",False,40.72433090209961,-73.9977035522461,1764058,352811.6
133,"Myrtle Av (J,M,Z)",BK,"M,J,Z",False,40.697208404541016,-73.93565368652344,1757681,351536.2
134,Spring St (6),M,6,False,40.7223014831543,-73.99713897705078,1737804,347560.8
135,"28 St (R,W)",M,"R,W",False,40.7454948425293,-73.98869323730469,1695043,339008.6
136,8 Av (N),BK,N,False,40.63506317138672,-74.01171875,1694110,338822.0
137,"86 St (B,C)",M,"C,B",False,40.78586959838867,-73.96891784667969,1690694,338138.8
138,Christopher St-Sheridan Sq (1),M,1,False,40.7334213256836,-74.0029067993164,1681899,336379.8
139,Greenpoint Av (G),BK,G,False,40.731353759765625,-73.95445251464844,1653809,330761.8
140,181 St (1),M,1,False,40.84950637817383,-73.93359375,1645498,329099.6
141,"Astoria Blvd (N,W)",Q,"N,W",False,40.77025985717773,-73.9178466796875,1609039,321807.8
142,175 St (A),M,A,False,40.847389221191406,-73.93970489501953,1562346,312469.2
143,157 St (1),M,1,False,40.83404159545898,-73.94489288330078,1539206,307841.2
144,"Newkirk Plaza (B,Q)",BK,"Q,B",False,40.63508224487305,-73.9627914428711,1528584,305716.8
145,"7 Av (B,Q)",BK,"Q,B",False,40.67705154418945,-73.97236633300781,1514022,302804.4
146,"135 St (2,3)",M,"3,2",False,40.81422805786133,-73.9407730102539,1511510,302302.0
147,40 St-Lowery St (7),Q,7,False,40.74378204345703,-73.92401885986328,1510779,302155.8
148,Hunts Point Av (6),BX,6,False,40.82094955444336,-73.89054870605469,1495335,299067.0
149,"96 St (B,C)",M,"C,B",False,40.79164123535156,-73.9646987915039,1490999,298199.8
150,Nassau Av (G),BK,G,False,40.72463607788086,-73.95127868652344,1484838,296967.6
151,"Euclid Av (A,C)",BK,"C,A",False,40.67537689208984,-73.87210845947266,1479214,295842.8
152,"High St (A,C)",BK,"C,A",False,40.699337005615234,-73.99053192138672,1475728,295145.6
153,"149 St-Grand Concourse (2,4,5)",BX,"2,5,4",False,40.81837463378906,-73.92735290527344,1469873,293974.6
154,"72 St (B,C)",M,"C,B",False,40.77559280395508,-73.97640991210938,1468114,293622.8
155,Fordham Rd (4),BX,4,False,40.8628044128418,-73.90103149414062,1463355,292671.0
156,110 St (6),M,6,False,40.795021057128906,-73.94425201416016,1460365,292073.0
157,"Fordham Rd (B,D)",BX,"B,D",False,40.86129760742188,-73.89775085449219,1446918,289383.6
158,Graham Av (L),BK,L,False,40.71456527709961,-73.94405364990234,1443599,288719.8
159,"Prospect Park (B,Q,S)",BK,"Q,S,B",False,40.66161346435547,-73.96224975585938,1442772,288554.4
160,"Nevins St (2,3,4,5)",BK,"3,2,5,4",False,40.68824768066406,-73.9804916381836,1438604,287720.8
161,111 St (7),Q,7,False,40.751731872558594,-73.85533142089844,1437001,287400.2
162,St George,SI,SIR,False,40.643748,-74.073643,1433408,286681.6
163,"Church Av (F,G)",BK,"F,G",False,40.644039154052734,-73.97967529296875,1413765,282753.0
164,145 St (1),M,1,False,40.8265495300293,-73.95036315917969,1393430,278686.0
165,53 St (R),BK,R,False,40.64506912231445,-74.01403045654297,1365855,273171.0
166,"Church Av (2,5)",BK,"2,5",False,40.65084457397461,-73.94957733154297,1348119,269623.8
167,125 St (1),M,1,False,40.81558227539063,-73.9583740234375,1335248,267049.6
168,231 St (1),BX,1,False,40.87885665893555,-73.90483093261719,1331185,266237.0
169,"116 St (2,3)",M,"3,2",False,40.80209732055664,-73.94962310791016,1325704,265140.8
170,Kingsbridge Rd (4),BX,4,False,40.86775970458984,-73.89717102050781,1318129,263625.8
171,33 St-Rawson St (7),Q,7,False,40.74458694458008,-73.93099975585938,1306946,261389.2
172,Bedford-Nostrand Avs (G),BK,G,False,40.68962860107422,-73.95352172851562,1305422,261084.4
173,Jefferson St (L),BK,L,False,40.70660781860352,-73.92291259765625,1263209,252641.8
174,167 St (4),BX,4,False,40.83553695678711,-73.92140197753906,1258882,251776.4
175,45 St (R),BK,R,False,40.6489372253418,-74.010009765625,1252464,250492.8
176,Burnside Av (4),BX,4,False,40.85345458984375,-73.90768432617188,1234546,246909.2
177,3 Av-138 St (6),BX,6,False,40.81047439575195,-73.92613983154297,1230803,246160.6
178,21 St-Queensbridge (F),Q,F,False,40.75420379638672,-73.94283294677734,1218739,243747.8
179,"East 180 St (2,5)",BX,"2,5",False,40.84189224243164,-73.87348937988281,1211201,242240.2
180,Bay Ridge Av (R),BK,R,False,40.63496780395508,-74.02337646484375,1204059,240811.8
181,Halsey St (L),BK,L,False,40.69560241699219,-73.90408325195312,1200025,240005.0
182,Bay Pkwy (D),BK,D,False,40.60187530517578,-73.99372863769531,1192827,238565.4
183,181 St (A),M,A,False,40.8516960144043,-73.9379653930664,1191222,238244.4
184,"67 Av (M,R)",Q,"M,R",False,40.726524353027344,-73.85272216796875,1190271,238054.2
185,18 St (1),M,1,False,40.74103927612305,-73.99787139892578,1188007,237601.4
186,"Pelham Pkwy (2,5)",BX,"2,5",False,40.85719299316406,-73.86761474609375,1181840,236368.0
187,Mets-Willets Point (7),Q,7,False,40.75462341308594,-73.84562683105469,1177093,235418.6
188,Mosholu Pkwy (4),BX,4,False,40.8797492980957,-73.88465881347656,1176345,235269.0
189,Inwood-207 St (A),M,A,False,40.868072509765625,-73.9198989868164,1165000,233000.0
190,"46 St (M,R)",Q,"M,R",False,40.75631332397461,-73.913330078125,1164534,232906.8
191,191 St (1),M,1,False,40.855224609375,-73.92941284179688,1162898,232579.6
192,Roosevelt Island (F),M,F,False,40.7591438293457,-73.95326232910156,1157636,231527.2
193,"Winthrop St (2,5)",BK,"2,5",False,40.65665054321289,-73.95020294189453,1152922,230584.4
194,169 St (F),Q,F,False,40.71046829223633,-73.7936019897461,1134647,226929.4
195,"Broadway Junction (A,C,J,L,Z)",BK,"J,C,Z,A,L",False,40.67949676513672,-73.90451049804688,1131241,226248.2
196,"Cathedral Pkwy-110 St (B,C)",M,"C,B",False,40.80060195922852,-73.95816040039062,1128763,225752.6
197,Morgan Av (L),BK,L,False,40.706153869628906,-73.93314361572266,1122765,224553.0
198,"Flushing Av (J,M)",BK,"M,J",False,40.70026016235352,-73.94112396240234,1118574,223714.8
199,"Hoyt St (2,3)",BK,"3,2",False,40.69054412841797,-73.98506164550781,1099246,219849.2
200,Parsons Blvd (F),Q,F,False,40.70756530761719,-73.80332946777344,1094835,218967.0
201,Union St (R),BK,R,False,40.67731475830078,-73.98310852050781,1094021,218804.2
202,Avenue U (Q),BK,Q,False,40.59930038452149,-73.9559326171875,1092815,218563.0
203,Rockaway Blvd (A),Q,A,False,40.68042755126953,-73.84385681152344,1089250,217850.0
204,"Grand Army Plaza (2,3)",BK,"3,2",False,40.675235748291016,-73.9710464477539,1085295,217059.0
205,"Central Park North-110 St (2,3)",M,"3,2",False,40.799076080322266,-73.95182037353516,1077158,215431.6
206,Clinton-Washington Avs (C),BK,C,False,40.68326187133789,-73.96583557128906,1077009,215401.8
207,Rector St (1),M,1,False,40.70751190185547,-74.01378631591797,1074413,214882.6
208,Montrose Av (L),BK,L,False,40.707740783691406,-73.93984985351562,1073694,214738.8
209,Bay Pkwy (N),BK,N,False,40.61181640625,-73.98184967041016,1067824,213564.8
210,"167 St (B,D)",BX,"B,D",False,40.833770751953125,-73.91844177246094,1044897,208979.4
211,Fort Hamilton Pkwy (N),BK,N,False,40.631385803222656,-74.0053482055664,1040097,208019.4
212,Grand St (L),BK,L,False,40.7119255065918,-73.94066619873047,1035306,207061.2
213,Van Cortlandt Park-242 St (1),BX,1,False,40.88924789428711,-73.8985824584961,1029915,205983.0
214,Dyckman St (1),M,1,False,40.86053085327149,-73.925537109375,1018593,203718.6
215,"Newkirk Av (2,5)",BK,"2,5",False,40.63996887207031,-73.94841003417969,1014272,202854.4
216,"Northern Blvd (M,R)",Q,"M,R",False,40.75288391113281,-73.906005859375,996955,199391.0
217,Fulton St (G),BK,G,False,40.68711853027344,-73.97537231445312,995419,199083.8
218,170 St (4),BX,4,False,40.8400764465332,-73.91779327392578,991289,198257.8
219,"116 St (B,C)",M,"C,B",False,40.805084228515625,-73.95487976074219,987109,197421.8
220,"36 Av (N,W)",Q,"N,W",False,40.75680541992188,-73.92957305908203,982175,196435.0
221,"Gates Av (J,Z)",BK,"J,Z",False,40.68962860107422,-73.92227172851562,976282,195256.4
222,3 Av (L),M,L,False,40.73284912109375,-73.98612213134766,973969,194793.8
223,Ozone Park-Lefferts Blvd (A),Q,A,False,40.68595123291016,-73.82579803466797,972809,194561.8
224,"Clark St (2,3)",BK,"3,2",False,40.69746780395508,-73.99308776855469,966317,193263.4
225,Kingston-Throop Avs (C),BK,C,False,40.6799201965332,-73.94085693359375,963617,192723.4
226,52 St (7),Q,7,False,40.74414825439453,-73.91255187988281,957660,191532.0
227,"Simpson St (2,5)",BX,"2,5",False,40.82407379150391,-73.89306640625,948931,189786.2
228,207 St (1),M,1,False,40.86462020874024,-73.9188232421875,939417,187883.4
229,"Bedford Park Blvd (B,D)",BX,"B,D",False,40.87324523925781,-73.88713836669922,929079,185815.8
230,Woodlawn (4),BX,4,False,40.88603591918945,-73.87875366210938,928581,185716.2
231,"15 St-Prospect Park (F,G)",BK,"F,G",False,40.66036605834961,-73.9794921875,928216,185643.2
232,"Tremont Av (B,D)",BX,"B,D",False,40.85041046142578,-73.90522766113281,920677,184135.4
233,18 Av (D),BK,D,False,40.60795211791992,-74.00173950195312,919803,183960.6
234,Franklin St (1),M,1,False,40.71931838989258,-74.00688934326172,919731,183946.2
235,69 St (7),Q,7,False,40.7463264465332,-73.89640045166016,918234,183646.8
236,Norwood-205 St (D),BX,D,False,40.87480926513672,-73.87885284423828,915317,183063.4
237,Sutter Av-Rutland Rd (3),BK,3,False,40.66471862792969,-73.922607421875,913574,182714.8
238,"Fort Hamilton Pkwy (F,G)",BK,"F,G",False,40.65078353881836,-73.97577667236328,912266,182453.2
239,Prospect Av (R),BK,R,False,40.66541290283203,-73.99287414550781,903685,180737.0
240,Parkside Av (Q),BK,Q,False,40.65529251098633,-73.96149444580078,901329,180265.8
241,79 St (D),BK,D,False,40.613502502441406,-74.0006103515625,900308,180061.6
242,"Prospect Av (2,5)",BX,"2,5",False,40.819583892822266,-73.90177154541016,891428,178285.6
243,Classon Av (G),BK,G,False,40.688873291015625,-73.96006774902344,891373,178274.6
244,Fresh Pond Rd (M),Q,M,False,40.70618438720703,-73.8958740234375,886668,177333.6
245,Cortelyou Rd (Q),BK,Q,False,40.640926361083984,-73.9638900756836,886376,177275.2
246,Dyckman St (A),M,A,False,40.8654899597168,-73.9272689819336,880692,176138.4
247,"Broad St (J,Z)",M,"J,Z",False,40.70647430419922,-74.01105499267578,877692,175538.4
248,Pelham Bay Park (6),BX,6,False,40.85246276855469,-73.82811737060547,877467,175493.4
249,"Kingsbridge Rd (B,D)",BX,"B,D",False,40.86697769165039,-73.89350891113281,868739,173747.8
250,Avenue M (Q),BK,Q,False,40.617618560791016,-73.95939636230469,863612,172722.4
251,Myrtle-Willoughby Avs (G),BK,G,False,40.6945686340332,-73.94904327392578,857867,171573.4
252,9 Av (D),BK,D,False,40.64629364013672,-73.99432373046875,856765,171353.0
253,Clinton-Washington Avs (G),BK,G,False,40.688087463378906,-73.96684265136719,853826,170765.2
254,Morrison Av-Soundview (6),BX,6,False,40.82952117919922,-73.87451934814453,847858,169571.6
255,"Sterling St (2,5)",BK,"2,5",False,40.662742614746094,-73.95085144042969,842979,168595.8
256,"Gun Hill Rd (2,5)",BX,"2,5",False,40.87784957885742,-73.86625671386719,837960,167592.0
257,Bay Ridge-95 St (R),BK,R,False,40.61662292480469,-74.03087615966797,835646,167129.2
258,Hunters Point Av (7),Q,7,False,40.74221420288086,-73.94891357421875,834767,166953.4
259,Halsey St (J),BK,J,False,40.686370849609375,-73.91655731201172,833830,166766.0
260,Grant Av (A),BK,A,False,40.67704391479492,-73.86505126953125,833587,166717.4
261,Kings Hwy (N),BK,N,False,40.60392379760742,-73.98035430908203,833088,166617.6
262,Avenue J (Q),BK,Q,False,40.625038146972656,-73.96080017089844,826147,165229.4
263,Elder Av (6),BX,6,False,40.82858276367188,-73.87915802001953,825576,165115.2
264,77 St (R),BK,R,False,40.62974166870117,-74.0255126953125,821559,164311.8
265,"City Hall (R,W)",M,"R,W",False,40.71328353881836,-74.0069808959961,820736,164147.2
266,Lafayette Av (C),BK,C,False,40.68611145019531,-73.97394561767578,805501,161100.2
267,New Utrecht Av (N)/62 St (D),BK,"N,,D",False,40.62647247314453,-73.99635314941406,798826,159765.2
268,New Lots Av (3),BK,3,False,40.666236877441406,-73.88407897949219,798548,159709.6
269,"Franklin Av (C,S)",BK,"C,S",False,40.68138122558594,-73.95684814453125,795389,159077.8
270,"174 St (2,5)",BX,"2,5",False,40.83728790283203,-73.88773345947266,795381,159076.2
271,"Rector St (R,W)",M,"R,W",False,40.707218170166016,-74.01334381103516,794879,158975.8
272,18 Av (N),BK,N,False,40.62067031860352,-73.99041748046875,785313,157062.6
273,Bedford Park Blvd-Lehman College (4),BX,4,False,40.8734130859375,-73.89006042480469,785213,157042.6
274,Castle Hill Av (6),BX,6,False,40.83425521850586,-73.8512191772461,783066,156613.2
275,183 St (4),BX,4,False,40.85840606689453,-73.90387725830078,781273,156254.6
276,Kosciuszko St (J),BK,J,False,40.69334030151367,-73.92881774902344,774683,154936.6
